N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
223;En PMBOK 7, ¿cuál es la diferencia entre un 'resultado' y un 'entregable'?;Son términos equivalentes en el contexto del proyecto;"Un entregable es un producto tangible; un resultado puede ser intangible como un cambio de comportamiento o capacidad";Los resultados solo se miden al cierre del proyecto;Los entregables incluyen los beneficios del proyecto;B;En PMBOK 7, los entregables son productos o servicios verificables. Los resultados son los efectos o cambios generados, que pueden ser intangibles. Ambos contribuyen al valor del proyecto.;Procesos;Tarea 12: Gestionar artefactos;Predictivo;PMI Mindset: La EDT/WBS es el artefacto base del alcance. Todo entregable debe estar en la WBS. Si no está en la WBS, no se hace.
224;Un proyecto tiene BAC = 400,000, AC = 180,000, EV = 150,000 y PV = 200,000. ¿Cuál es la Variación del Costo (CV)?;-30,000;+20,000;-50,000;+30,000;A;CV = EV - AC = 150,000 - 180,000 = -30,000. Un CV negativo indica que el proyecto está sobre el presupuesto para el trabajo realizado.;Personas;Tarea 8: Proporcionar mentoría;Híbrido;PMI Mindset: Mentoría y coaching = herramientas de liderazgo del PM. Un PM maduro invierte en el desarrollo de competencias del equipo.
225;¿Cuál es el propósito del proceso 'Estimar los Recursos de las Actividades'?;Asignar tareas a los miembros del equipo;Determinar qué tipo y cantidad de recursos se necesitan para cada actividad;Controlar el uso de recursos durante la ejecución;Calcular el costo total del proyecto;B;Este proceso identifica los recursos humanos, materiales y equipos necesarios por actividad, base esencial para estimar duraciones y costos.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;Tipos de contratos: Precio Fijo = riesgo del vendedor. Coste + Honorarios = riesgo del comprador. T&M = riesgo compartido, para alcance incierto.
226;En un entorno ágil, ¿qué significa que una historia de usuario sea 'INVEST'?;Un proceso de inversión para priorizar el backlog;Un acrónimo: Independiente, Negociable, Valiosa, Estimable, Small (pequeña), Testeable;Una técnica para calcular el retorno de inversión de cada funcionalidad;Un método de validación de requisitos con el cliente;B;INVEST es el criterio para evaluar la calidad de una historia de usuario: Independiente, Negociable, Valiosa, Estimable, Small y Testeable. Una buena historia cumple todos estos criterios.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: El cumplimiento regulatorio es responsabilidad del PM. Identifica requisitos legales durante la planificación, no durante la ejecución.
227;¿Qué es la 'nivelación de recursos' y cuándo se aplica?;Técnica para reducir el número de recursos en el proyecto;Ajuste del cronograma para resolver sobreasignaciones de recursos, generalmente extendiendo la duración;Proceso para equilibrar el presupuesto entre fases del proyecto;Método para distribuir el riesgo entre los miembros del equipo;B;La nivelación de recursos resuelve conflictos de sobreasignación ajustando fechas de inicio/fin, lo que puede extender el cronograma pero respeta las limitaciones de disponibilidad.;Personas;Tarea 4: Empoderar miembros del equipo;Ágil;PMI Mindset: Empoderar = dar autonomía + responsabilidad. El PM protege al equipo de interferencias externas. No microgestiones.
228;Un proyecto predictivo está en su fase de ejecución cuando el patrocinador exige reducir el alcance para cumplir el presupuesto original. ¿Qué debe hacer el director del proyecto?;Reducir el alcance inmediatamente según la instrucción del patrocinador;Analizar el impacto, documentar el cambio y procesarlo a través del control integrado de cambios;Escalar al comité de dirección de programas;Rechazar la solicitud porque el alcance ya fue aprobado;B;Incluso cuando el cambio viene del patrocinador, debe seguir el proceso formal. Esto protege el proyecto, documenta decisiones y actualiza las líneas base correctamente.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;Ruta Crítica: La holgura de las actividades críticas es cero. Un retraso en la ruta crítica retrasa el proyecto. CPM = herramienta clave.
229;¿Qué herramienta se utiliza para mostrar la relación entre defectos y sus causas en orden de frecuencia?;Diagrama de Ishikawa;Diagrama de Pareto;Diagrama de dispersión;Histograma de calidad;B;El diagrama de Pareto (regla 80/20) muestra los defectos ordenados de mayor a menor frecuencia, permitiendo identificar las causas que generan la mayor parte de los problemas.;Procesos;Tarea 9: Comprometer interesados;Híbrido;PMI Mindset: El registro de interesados es dinámico. Actualízalo cuando cambie el poder, interés o actitud de cualquier interesado.
230;En Scrum, ¿qué ocurre al final de cada Sprint de manera obligatoria?;Una reunión con el patrocinador para aprobar el presupuesto;La entrega de un incremento potencialmente liberable del producto;La firma de un acta de aprobación por el cliente;La actualización del plan de gestión del proyecto;B;Al final de cada Sprint debe existir un Incremento: una versión funcional, potencialmente liberable del producto, que cumple con la Definition of Done del equipo.;Personas;Tarea 1: Gestionar conflictos;Predictivo;Conflicto de interés: siempre reportar y recusar. El PM tiene responsabilidad ética de garantizar decisiones objetivas e imparciales.
231;¿Qué técnica ágil de estimación usa la secuencia de Fibonacci para expresar la complejidad relativa?;Técnica Delphi;Estimación análoga;Planning Poker;Estimación paramétrica;C;Planning Poker usa cartas con valores de la secuencia de Fibonacci (1, 2, 3, 5, 8, 13...) para estimar por consenso el esfuerzo relativo de las historias de usuario.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;EAC variantes: Si CPI constante → EAC=BAC/CPI. Si trabajo futuro a presupuesto → EAC=AC+(BAC-EV). Elige la fórmula correcta según el contexto.
232;¿Cuál es la diferencia entre 'Fast Tracking' y 'Crashing' en la compresión del cronograma?;"Fast Tracking añade recursos; Crashing ejecuta actividades en paralelo";"Fast Tracking ejecuta actividades en paralelo aumentando el riesgo; Crashing añade recursos aumentando el costo";"Fast Tracking reduce el alcance; Crashing elimina actividades no críticas";No hay diferencia práctica, ambas técnicas tienen el mismo efecto;B;Fast Tracking: actividades paralelas, mayor riesgo. Crashing: más recursos en actividades críticas, mayor costo. Son complementarias pero con impactos distintos.;Procesos;Tarea 13: Determinar metodología;Ágil;PMI Mindset Ágil: Iterativo = ciclos de retroalimentación continuos. Cada sprint entrega valor incremental y permite ajustar el rumbo.
233;¿Qué representa el 'Presupuesto hasta la conclusión' (BAC)?;El costo real acumulado del proyecto;El presupuesto total aprobado para el proyecto;La estimación del costo al finalizar basada en el desempeño actual;La variación de costo proyectada al cierre;B;BAC (Budget at Completion) es el presupuesto total autorizado para el proyecto, establecido en la línea base de costos.;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset: La agilidad empresarial = capacidad de adaptarse rápido a cambios del entorno. VUCA requiere respuestas flexibles y rápidas.
234;En el análisis de interesados, ¿qué representa la cuadrícula 'Poder/Interés'?;Mide el presupuesto disponible de cada interesado;Clasifica a los interesados según su nivel de autoridad y su grado de preocupación por el proyecto;Evalúa las habilidades técnicas de los miembros del equipo;Determina la secuencia de comunicaciones del proyecto;B;La cuadrícula Poder/Interés clasifica a los interesados en cuatro cuadrantes para definir estrategias de gestión diferenciadas según su influencia e interés en el proyecto.;Personas;Tarea 14: Promover colaboración;Ágil;PMI Mindset: Sprint Review = demostración de valor al cliente. El feedback aquí alimenta el backlog para el siguiente sprint.
235;Un director de proyecto identifica que dos actividades del cronograma pueden ejecutarse en paralelo para recuperar tiempo perdido. Sin embargo, esto aumentaría el riesgo técnico. ¿Qué técnica está considerando?;Crashing;Nivelación de recursos;Fast Tracking;Técnica PERT;C;Fast Tracking es la técnica de comprimir el cronograma ejecutando actividades en paralelo que normalmente se harían secuencialmente, aceptando mayor riesgo.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: El Plan de Comunicaciones define qué, cuándo, a quién y cómo. Es la fuente de verdad para quejas de falta de información.
236;¿Cuál es el propósito principal de los 'activos de los procesos de la organización' (OPAs)?;Definir las condiciones externas del entorno del proyecto;Proporcionar plantillas, procedimientos y lecciones aprendidas que la organización ha desarrollado;Establecer los requisitos regulatorios aplicables al proyecto;Determinar la estructura del equipo del proyecto;B;Los OPAs son los activos internos de la organización: plantillas, procesos, políticas, bases de datos de proyectos anteriores y lecciones aprendidas.;Procesos;Tarea 5: Gestionar alcance;Predictivo;PMI Mindset: Validar el Alcance = aceptación formal de entregables por el cliente. Se hace al final de cada fase o cuando se completa un entregable.
237;¿Qué principio del PMBOK 7 aborda la necesidad de optimizar el retorno para la organización y sus interesados?;Adoptar la agilidad;Enfocarse en el valor;Involucrar a los interesados;Crear un entorno colaborativo del equipo;B;El principio 'Enfocarse en el valor' establece que todas las decisiones deben orientarse a maximizar el valor entregado a los interesados y la organización.;Procesos;Tarea 3: Gestionar riesgos;Híbrido;PMI Mindset: Respuestas a riesgos: Transferir (seguro/contrato), Mitigar (reducir prob/impacto), Aceptar (activa/pasiva), Evitar (cambiar plan).
238;Durante la planificación, el equipo descubre que dos requisitos del cliente son técnicamente incompatibles. ¿Qué debe hacerse?;Implementar el requisito más fácil y omitir el otro;Escalar al patrocinador para que decida unilateralmente;Facilitar una sesión con el cliente para aclarar la prioridad y documentar la decisión;Incluir ambos requisitos y resolver durante la ejecución;C;Los conflictos de requisitos deben resolverse con el cliente mediante análisis y negociación, documentando el resultado en la línea base del alcance.;Personas;Tarea 10: Comprometer interesados;Híbrido;PMI Mindset: Negociación = buscar acuerdos win-win. El PM negocia por el proyecto, no por posiciones personales. Foco en intereses, no en posiciones.
239;¿Qué es el 'Índice de Desempeño del Trabajo por Completar' (TCPI) basado en el EAC?;La eficiencia de costos necesaria para completar el trabajo restante cumpliendo el EA;La estimación del costo del trabajo restante;La variación de costo proyectada al cierre;El presupuesto restante dividido entre el trabajo planificado;A;TCPI (EAC) = (BAC - EV) / (EAC - AC). Indica la eficiencia necesaria en el trabajo restante para cumplir el EAC revisado.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Control de Calidad = verificar entregables. Aseguramiento de Calidad = auditar procesos. Son complementarios, no lo mismo.
240;En un proyecto ágil, ¿qué representa la 'velocidad' del equipo?;La rapidez con que el equipo responde a los clientes;La cantidad de puntos de historia completados en promedio por sprint;El número de reuniones diarias realizadas;El tiempo de ciclo desde que inicia una tarea hasta que se entrega;B;La velocidad es la cantidad promedio de puntos de historia (o unidades de trabajo) que el equipo completa en un sprint. Se usa para la planificación y proyección de sprints futuros.;Entorno;Tarea 4: Gestionar beneficios;Predictivo;PMI Mindset: El Plan de Realización de Beneficios describe cómo/cuándo se materializan los beneficios del proyecto. Puede extenderse post-proyecto.
241;¿Cuál es el propósito de realizar una 'reunión de inicio de proyecto' (Kickoff Meeting)?;Obtener la aprobación formal del presupuesto;Alinear a todos los interesados clave en los objetivos, el alcance y el enfoque del proyecto;Presentar los resultados del análisis de riesgos;Formalizar el cierre de la fase de planificación;B;El Kickoff Meeting asegura que todos los involucrados comprendan el propósito, los objetivos, los roles y el plan del proyecto, creando un punto de partida compartido.;Personas;Tarea 2: Liderar un equipo;Ágil;PMI Mindset: Modelo Tuckman: Forming→Storming→Norming→Performing→Adjourning. El PM adapta su estilo de liderazgo a cada etapa del equipo.
